"filename", "language", "Python", "Markdown", "JavaScript", "pip requirements", "SCSS", "JSON", "CSS", "XML", "HTML", "JSON with Comments", "Ignore", "Properties", "comment", "blank", "total"
"c:\Ujango\frontend\src\assets\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\assets\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Ujango\frontend\src\components\app\CircleProgressBar.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Ujango\frontend\src\components\app\CircleProgressBar.module.scss", "SCSS", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 63, 26, 149
"c:\Ujango\frontend\src\components\app\ErrorBoundary.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\components\app\MenuAsideItem.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Ujango\frontend\src\components\app\MenuAsideItem.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Ujango\frontend\src\components\app\MenuIcon.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Ujango\frontend\src\components\app\MenuIcon.scss", "SCSS", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Ujango\frontend\src\components\app\MenuItem.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Ujango\frontend\src\components\app\MenuItem.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Ujango\frontend\src\components\app\SearchBar.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Ujango\frontend\src\components\app\SearchBar.module.scss", "SCSS", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 15, 60
"c:\Ujango\frontend\src\components\app\Spinner.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Ujango\frontend\src\components\app\Spinner.module.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"c:\Ujango\frontend\src\components\ui\Button\Button.css", "CSS", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Ujango\frontend\src\components\ui\Button\Button.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Ujango\frontend\src\components\ui\Button\ButtonTOREMOVE.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Ujango\frontend\src\components\ui\Button\CommentButton.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Ujango\frontend\src\components\ui\Button\CommentButton.module.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Ujango\frontend\src\components\ui\Button\FollowButton.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Ujango\frontend\src\components\ui\Button\FollowButton.module.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Ujango\frontend\src\components\ui\Button\LikeButton.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Ujango\frontend\src\components\ui\Button\LikeButton.module.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Ujango\frontend\src\components\ui\Button\ReplyButton.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Ujango\frontend\src\components\ui\Button\ReplyButton.module.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Ujango\frontend\src\components\ui\Button\ShareButton.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Ujango\frontend\src\components\ui\Button\ShareButton.module.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Ujango\frontend\src\components\ui\Button\ViewButton.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Ujango\frontend\src\components\ui\Button\ViewButton.module.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Ujango\frontend\src\components\ui\Button\WriteAPostButton.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Ujango\frontend\src\components\ui\Button\WriteAPostButton.module.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Ujango\frontend\src\components\ui\Button\index.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Ujango\frontend\src\components\ui\Form\Form.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\components\ui\Form\Form.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 41
"c:\Ujango\frontend\src\components\ui\Form\FormInput.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Ujango\frontend\src\components\ui\Form\FormInput.scss", "SCSS", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 1, 7, 52
"c:\Ujango\frontend\src\components\ui\Form\index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
